state_class,magnitude_quantizer,bits_per_magnitude,bits_per_phase,k,sample_idx,fidelity,compression_ratio
heisenberg,topk,3,3,8.0,16,0.9828368707649423,8.402051282051282
heisenberg,log,3,3,,16,0.5981578397077345,8.752136752136753
heisenberg,percentile,3,3,,16,0.9893057750025402,8.261187444850624
heisenberg,lloyd,4,4,,16,0.9701372231574752,6.69281045751634
heisenberg,topk,4,4,8.0,16,0.9805467879162629,6.491283676703645
heisenberg,log,4,4,,16,0.826646503117426,6.69281045751634
heisenberg,percentile,4,4,,16,0.9874114520447511,6.408761979268531
heisenberg,lloyd,2,2,,17,0.9542863348774862,12.337349397590362
heisenberg,topk,2,2,8.0,17,0.9761608442331373,11.636363636363637
heisenberg,log,2,2,,17,0.481179293742426,12.337349397590362
heisenberg,percentile,2,2,,17,0.9832067334585267,11.361997226074896
heisenberg,lloyd,3,3,,17,0.9694374850581433,8.752136752136753
heisenberg,topk,3,3,8.0,17,0.9801330251928015,8.402051282051282
heisenberg,log,3,3,,17,0.5873075416972846,8.752136752136753
heisenberg,percentile,3,3,,17,0.9873076767612561,8.261187444850624
heisenberg,lloyd,4,4,,17,0.9735000092304101,6.69281045751634
heisenberg,topk,4,4,8.0,17,0.9830664015382179,6.491283676703645
heisenberg,log,4,4,,17,0.8325938627756841,6.69281045751634
heisenberg,percentile,4,4,,17,0.989707834516582,6.408761979268531
heisenberg,lloyd,2,2,,18,0.9558751382857572,12.337349397590362
heisenberg,topk,2,2,8.0,18,0.9766081471636003,11.636363636363637
heisenberg,log,2,2,,18,0.48107015466550834,12.337349397590362
heisenberg,percentile,2,2,,18,0.98330757566222,11.361997226074896
heisenberg,lloyd,3,3,,18,0.9685244290962611,8.752136752136753
heisenberg,topk,3,3,8.0,18,0.9795284989980226,8.402051282051282
heisenberg,log,3,3,,18,0.5939158568783419,8.752136752136753
heisenberg,percentile,3,3,,18,0.987249190450636,8.261187444850624
heisenberg,lloyd,4,4,,18,0.9726891694081601,6.69281045751634
heisenberg,topk,4,4,8.0,18,0.9825273512383474,6.491283676703645
heisenberg,log,4,4,,18,0.8302280637892805,6.69281045751634
heisenberg,percentile,4,4,,18,0.9891666182736955,6.408761979268531
heisenberg,lloyd,2,2,,19,0.9520526269140638,12.337349397590362
heisenberg,topk,2,2,8.0,19,0.9749212054720628,11.636363636363637
heisenberg,log,2,2,,19,0.48016110914063187,12.337349397590362
heisenberg,percentile,2,2,,19,0.9824411965252721,11.361997226074896
heisenberg,lloyd,3,3,,19,0.9712424359564288,8.752136752136753
heisenberg,topk,3,3,8.0,19,0.9817950405136061,8.402051282051282
heisenberg,log,3,3,,19,0.5930095579305952,8.752136752136753
heisenberg,percentile,3,3,,19,0.9882839060192653,8.261187444850624
heisenberg,lloyd,4,4,,19,0.9722856023078508,6.69281045751634
