state_class,config,bits_per_magnitude,bits_per_phase,sample_idx,fidelity,compression_ratio
haar,wht,4,4,4,0.9999999999999998,1.0
haar,wht_mag,4,4,4,0.9981541159719748,1.7534246575342465
haar,wht_mag_phase,4,4,4,0.9865472987228883,7.529411764705882
haar,full,4,4,4,0.9896874969644629,6.69281045751634
haar,wht,2,2,5,1.0,1.0
haar,wht_mag,2,2,5,0.9774260619697087,1.8754578754578755
haar,wht_mag_phase,2,2,5,0.8021379366130642,15.515151515151516
haar,full,2,2,5,0.8482876853129819,12.337349397590362
haar,wht,3,3,5,1.0,1.0
haar,wht_mag,3,3,5,0.9937637668289041,1.8156028368794326
haar,wht_mag_phase,3,3,5,0.944500664418005,10.24
haar,full,3,3,5,0.9577322668368441,8.752136752136753
haar,wht,4,4,5,1.0,1.0
haar,wht_mag,4,4,5,0.997965422655536,1.7534246575342465
haar,wht_mag_phase,4,4,5,0.9851032127858953,7.529411764705882
haar,full,4,4,5,0.9885884905611954,6.69281045751634
haar,wht,2,2,6,0.9999999999999998,1.0
haar,wht_mag,2,2,6,0.9780849982990585,1.8754578754578755
haar,wht_mag_phase,2,2,6,0.7863225613969612,15.515151515151516
haar,full,2,2,6,0.8311726326273359,12.337349397590362
haar,wht,3,3,6,0.9999999999999998,1.0
haar,wht_mag,3,3,6,0.9935000055203624,1.8156028368794326
haar,wht_mag_phase,3,3,6,0.9411761148062732,10.24
haar,full,3,3,6,0.954947629137588,8.752136752136753
haar,wht,4,4,6,0.9999999999999998,1.0
haar,wht_mag,4,4,6,0.9976876674733425,1.7534246575342465
haar,wht_mag_phase,4,4,6,0.9844215619338812,7.529411764705882
haar,full,4,4,6,0.9883468204657294,6.69281045751634
haar,wht,2,2,7,1.0,1.0
haar,wht_mag,2,2,7,0.9783558059427608,1.8754578754578755
haar,wht_mag_phase,2,2,7,0.7960762955069476,15.515151515151516
haar,full,2,2,7,0.8468353023029985,12.337349397590362
haar,wht,3,3,7,1.0,1.0
haar,wht_mag,3,3,7,0.993921400709752,1.8156028368794326
haar,wht_mag_phase,3,3,7,0.9433793301857548,10.24
haar,full,3,3,7,0.9572956977904578,8.752136752136753
haar,wht,4,4,7,1.0,1.0
haar,wht_mag,4,4,7,0.9979690886046221,1.7534246575342465
haar,wht_mag_phase,4,4,7,0.9844180483747617,7.529411764705882
haar,full,4,4,7,0.9882326134976227,6.69281045751634
haar,wht,2,2,8,1.0000000000000009,1.0
haar,wht_mag,2,2,8,0.9803411431786987,1.8754578754578755
haar,wht_mag_phase,2,2,8,0.8042150192323155,15.515151515151516
haar,full,2,2,8,0.8479247871904377,12.337349397590362
haar,wht,3,3,8,1.0000000000000009,1.0
haar,wht_mag,3,3,8,0.9948293961502986,1.8156028368794326
haar,wht_mag_phase,3,3,8,0.945105949724984,10.24
haar,full,3,3,8,0.9585456941714632,8.752136752136753
haar,wht,4,4,8,1.0000000000000009,1.0
haar,wht_mag,4,4,8,0.9983759737069258,1.7534246575342465
haar,wht_mag_phase,4,4,8,0.9863797534063574,7.529411764705882
haar,full,4,4,8,0.9895202597406412,6.69281045751634
haar,wht,2,2,9,0.9999999999999991,1.0
haar,wht_mag,2,2,9,0.9790182227117468,1.8754578754578755
haar,wht_mag_phase,2,2,9,0.7942405091552427,15.515151515151516
haar,full,2,2,9,0.8453361846286235,12.337349397590362
haar,wht,3,3,9,0.9999999999999991,1.0
haar,wht_mag,3,3,9,0.9936406441482942,1.8156028368794326
haar,wht_mag_phase,3,3,9,0.9400328070681638,10.24
haar,full,3,3,9,0.9548552164977044,8.752136752136753
haar,wht,4,4,9,0.9999999999999991,1.0
haar,wht_mag,4,4,9,0.9979458827530392,1.7534246575342465
haar,wht_mag_phase,4,4,9,0.984569915160655,7.529411764705882
haar,full,4,4,9,0.9886343005658643,6.69281045751634
haar,wht,2,2,10,0.9999999999999998,1.0
haar,wht_mag,2,2,10,0.9814073329324665,1.8754578754578755
haar,wht_mag_phase,2,2,10,0.7972029875094301,15.515151515151516
haar,full,2,2,10,0.8447178047221383,12.337349397590362
haar,wht,3,3,10,0.9999999999999998,1.0
haar,wht_mag,3,3,10,0.9942464578166724,1.8156028368794326
haar,wht_mag_phase,3,3,10,0.9449233146513197,10.24
haar,full,3,3,10,0.9579445093215282,8.752136752136753
haar,wht,4,4,10,0.9999999999999998,1.0
haar,wht_mag,4,4,10,0.9984600882316982,1.7534246575342465
haar,wht_mag_phase,4,4,10,0.9862416956943589,7.529411764705882
haar,full,4,4,10,0.9894309778642069,6.69281045751634
haar,wht,2,2,11,0.9999999999999996,1.0
haar,wht_mag,2,2,11,0.978049593074091,1.8754578754578755
haar,wht_mag_phase,2,2,11,0.8032993451024865,15.515151515151516
haar,full,2,2,11,0.8511815330073642,12.337349397590362
haar,wht,3,3,11,0.9999999999999996,1.0
haar,wht_mag,3,3,11,0.9938190559662727,1.8156028368794326
