state_class,basis,threshold,sample_idx,k_star
tfim,identity,0.5,13,33
tfim,identity,0.9,13,339
tfim,identity,0.99,13,793
tfim,wht,0.5,14,3
tfim,wht,0.9,14,42
tfim,wht,0.99,14,206
tfim,dct,0.5,14,2
tfim,dct,0.9,14,27
tfim,dct,0.99,14,135
tfim,identity,0.5,14,33
tfim,identity,0.9,14,339
tfim,identity,0.99,14,793
tfim,wht,0.5,15,3
tfim,wht,0.9,15,42
tfim,wht,0.99,15,206
tfim,dct,0.5,15,2
tfim,dct,0.9,15,27
tfim,dct,0.99,15,135
tfim,identity,0.5,15,33
tfim,identity,0.9,15,339
tfim,identity,0.99,15,793
tfim,wht,0.5,16,3
tfim,wht,0.9,16,42
tfim,wht,0.99,16,206
tfim,dct,0.5,16,2
tfim,dct,0.9,16,27
tfim,dct,0.99,16,135
tfim,identity,0.5,16,33
tfim,identity,0.9,16,339
tfim,identity,0.99,16,793
tfim,wht,0.5,17,3
tfim,wht,0.9,17,42
tfim,wht,0.99,17,206
tfim,dct,0.5,17,2
tfim,dct,0.9,17,27
tfim,dct,0.99,17,135
tfim,identity,0.5,17,33
tfim,identity,0.9,17,339
tfim,identity,0.99,17,793
tfim,wht,0.5,18,3
tfim,wht,0.9,18,42
tfim,wht,0.99,18,206
tfim,dct,0.5,18,2
tfim,dct,0.9,18,27
tfim,dct,0.99,18,135
tfim,identity,0.5,18,33
tfim,identity,0.9,18,339
tfim,identity,0.99,18,793
tfim,wht,0.5,19,3
tfim,wht,0.9,19,42
tfim,wht,0.99,19,206
tfim,dct,0.5,19,2
tfim,dct,0.9,19,27
tfim,dct,0.99,19,135
tfim,identity,0.5,19,33
tfim,identity,0.9,19,339
tfim,identity,0.99,19,793
mps,wht,0.5,0,155
mps,wht,0.9,0,568
mps,wht,0.99,0,856
mps,dct,0.5,0,166
mps,dct,0.9,0,559
mps,dct,0.99,0,869
mps,identity,0.5,0,154
mps,identity,0.9,0,559
mps,identity,0.99,0,874
mps,wht,0.5,1,141
mps,wht,0.9,1,523
mps,wht,0.99,1,845
mps,dct,0.5,1,162
mps,dct,0.9,1,567
mps,dct,0.99,1,860
mps,identity,0.5,1,133
mps,identity,0.9,1,515
mps,identity,0.99,1,845
mps,wht,0.5,2,120
mps,wht,0.9,2,516
mps,wht,0.99,2,843
mps,dct,0.5,2,152
mps,dct,0.9,2,549
mps,dct,0.99,2,863
mps,identity,0.5,2,127
mps,identity,0.9,2,530
mps,identity,0.99,2,859
mps,wht,0.5,3,159
mps,wht,0.9,3,571
mps,wht,0.99,3,870
mps,dct,0.5,3,177
mps,dct,0.9,3,591
mps,dct,0.99,3,878
mps,identity,0.5,3,155
mps,identity,0.9,3,556
mps,identity,0.99,3,867
mps,wht,0.5,4,107
mps,wht,0.9,4,503
mps,wht,0.99,4,840
mps,dct,0.5,4,158
mps,dct,0.9,4,556
mps,dct,0.99,4,864
mps,identity,0.5,4,170
mps,identity,0.9,4,581
mps,identity,0.99,4,877
mps,wht,0.5,5,165
mps,wht,0.9,5,566
mps,wht,0.99,5,856
mps,dct,0.5,5,174
mps,dct,0.9,5,592
mps,dct,0.99,5,886
mps,identity,0.5,5,127
mps,identity,0.9,5,520
mps,identity,0.99,5,846
mps,wht,0.5,6,166
mps,wht,0.9,6,567
mps,wht,0.99,6,868
mps,dct,0.5,6,168
mps,dct,0.9,6,566
mps,dct,0.99,6,864
mps,identity,0.5,6,149
mps,identity,0.9,6,553
mps,identity,0.99,6,868
mps,wht,0.5,7,167
mps,wht,0.9,7,580
mps,wht,0.99,7,871
mps,dct,0.5,7,169
mps,dct,0.9,7,583
mps,dct,0.99,7,882
mps,identity,0.5,7,157
mps,identity,0.9,7,556
mps,identity,0.99,7,860
mps,wht,0.5,8,162
mps,wht,0.9,8,551
mps,wht,0.99,8,852
mps,dct,0.5,8,168
mps,dct,0.9,8,571
mps,dct,0.99,8,867
mps,identity,0.5,8,160
mps,identity,0.9,8,563
mps,identity,0.99,8,866
mps,wht,0.5,9,117
mps,wht,0.9,9,505
mps,wht,0.99,9,837
mps,dct,0.5,9,158
mps,dct,0.9,9,563
mps,dct,0.99,9,862
mps,identity,0.5,9,140
mps,identity,0.9,9,545
mps,identity,0.99,9,854
mps,wht,0.5,10,147
mps,wht,0.9,10,557
mps,wht,0.99,10,867
mps,dct,0.5,10,175
mps,dct,0.9,10,573
mps,dct,0.99,10,874
mps,identity,0.5,10,148
mps,identity,0.9,10,547
mps,identity,0.99,10,865
mps,wht,0.5,11,156
mps,wht,0.9,11,549
mps,wht,0.99,11,855
mps,dct,0.5,11,166
mps,dct,0.9,11,574
mps,dct,0.99,11,875
mps,identity,0.5,11,141
mps,identity,0.9,11,542
mps,identity,0.99,11,856
mps,wht,0.5,12,166
mps,wht,0.9,12,569
mps,wht,0.99,12,867
mps,dct,0.5,12,176
mps,dct,0.9,12,593
mps,dct,0.99,12,883
mps,identity,0.5,12,163
mps,identity,0.9,12,566
mps,identity,0.99,12,863
mps,wht,0.5,13,104
mps,wht,0.9,13,464
mps,wht,0.99,13,813
mps,dct,0.5,13,145
mps,dct,0.9,13,539
